"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"Facility provides TB drugs","Clinical Services","TB Services","Facility provides TB drugs",TRUE,FALSE,TRUE,FALSE
"Family Health","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Family Health",TRUE,FALSE,TRUE,FALSE
"Family planning","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Family planning",TRUE,FALSE,TRUE,FALSE
"Family planning  counselling to HIV positve pregnant women","Reproductive & Maternal Health","Family Planning","Family planning  counselling to HIV positve pregnant women",TRUE,FALSE,TRUE,FALSE
"Family planning for HIV clients","Reproductive & Maternal Health","Family Planning","Family planning for HIV clients",TRUE,FALSE,TRUE,FALSE
"Family planning services for un married persons","Reproductive & Maternal Health","Family Planning","Family planning services for un married persons",TRUE,FALSE,TRUE,FALSE
"Fansidar for malaria prevention (IPT)","Support Services","Commodities and Supplies","Fansidar for malaria prevention (IPT)",FALSE,TRUE,FALSE,FALSE
"Feeding tubes","Support Services","Equipment and Infrastructure","Feeding tubes",FALSE,FALSE,FALSE,FALSE
"Female Sterilisation","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Female Sterilisation",TRUE,FALSE,TRUE,FALSE
"Female condoms","Support Services","Commodities and Supplies","Female condoms",FALSE,FALSE,FALSE,FALSE
"First Line Uncomplicated Treatment","Malaria Services","Malaria Diagnosis and Treatment","First Line Uncomplicated Treatment",TRUE,TRUE,TRUE,FALSE
"Fluorescence microscope available and functional","Support Services","Equipment and Infrastructure","Fluorescence microscope available and functional",FALSE,FALSE,FALSE,FALSE
"Folic acid supplimentation","Support Services","Commodities and Supplies","Folic acid supplimentation",FALSE,FALSE,FALSE,FALSE
"Fortified Protein supplimentation","Support Services","Commodities and Supplies","Fortified Protein supplimentation",FALSE,FALSE,FALSE,FALSE
"Fracture","Clinical Services","Surgical Services","Fracture",TRUE,FALSE,TRUE,FALSE
"Functional CD4 count","HIV/AIDS Services","HIV/AIDS Services","Functional CD4 count",TRUE,FALSE,TRUE,FALSE
"Functional ECG","Support Services","Equipment and Infrastructure","Functional ECG",FALSE,FALSE,FALSE,FALSE
"Functional assay automated systems for HIV viral load","Support Services","Equipment and Infrastructure","Functional assay automated systems for HIV viral load",FALSE,FALSE,FALSE,FALSE
