country,facility_code,uid,created_date
TZA,121859-3,TZA-000580,2026-05-15
TZA,122103-5,TZA-000581,2026-05-15
TZA,109705-4,TZA-000582,2026-05-15
TZA,122114-2,TZA-000583,2026-05-15
TZA,106893-1,TZA-000584,2026-05-15
TZA,113724-9,TZA-000585,2026-05-15
TZA,104443-7,TZA-000586,2026-05-15
TZA,101010-7,TZA-000587,2026-05-15
TZA,100327-6,TZA-000588,2026-05-15
TZA,113102-8,TZA-000589,2026-05-15
TZA,105897-3,TZA-000590,2026-05-15
TZA,100562-8,TZA-000591,2026-05-15
TZA,110372-0,TZA-000592,2026-05-15
TZA,106833-7,TZA-000593,2026-05-15
TZA,108819-4,TZA-000594,2026-05-15
TZA,121591-2,TZA-000595,2026-05-15
TZA,112338-9,TZA-000596,2026-05-15
TZA,100000-9,TZA-000597,2026-05-15
TZA,105828-8,TZA-000598,2026-05-15
TZA,105737-1,TZA-000599,2026-05-15
TZA,121592-0,TZA-000600,2026-05-15
TZA,101790-4,TZA-000601,2026-05-15
TZA,100328-4,TZA-000602,2026-05-15
TZA,109673-4,TZA-000603,2026-05-15
TZA,102447-0,TZA-000604,2026-05-15
TZA,121297-6,TZA-000605,2026-05-15
